car_id,target_reg,num_fold
A56074965v,376.03,5
f19927901y,2004.02,9
a-7058206h,2547.89,7
a55365942d,772.0,3
z-1220018d,1489.35,5
R21058725x,704.89,3
b-2371028p,3168.44,1
G43865383Q,966.5,8
e78313402L,377.34,5
d-6672088A,1524.97,9
b-8415196u,9181.53,2
N18957837j,2908.88,5
v69592222X,4105.05,6
n19871201N,31783.32,0
A-1683178f,3036.86,1
c-1462399e,5037.0,9
C38293729H,2155.75,5
M-4645533N,778.66,7
i22101695X,5551.8,6
c22334367p,3299.04,4
S61532080S,3198.07,6
W-3482364r,9305.48,5
r-1098555x,282.2,3
J-2221564E,3544.37,7
t89744603y,2636.92,2
R22777636m,233.02,9
g95201799l,6589.99,0
b18050488U,386.36,7
C-2187827F,1274.54,9
a-6471303K,7740.95,8
u16335953I,5033.52,8
Z-1478978u,3052.35,1
u-1774078g,1746.95,7
e13179173i,3460.05,1
V-9361538G,453.91,4
C22072062B,3592.08,0
E68314843q,4274.65,0
k88534152q,2066.1,0
q12920406o,1835.49,5
u-1057398c,3386.01,2
s-3746188l,915.14,2
j37934708f,6015.86,4
M-2125716U,1004.81,9
A-6734908O,1605.65,1
f82085811L,4129.3,4
T-1299777v,1368.57,5
i21928776j,680.4,5
y11348057n,3633.4,4
a-1515400J,2120.62,3
S17262804N,2884.94,8
W14795073t,5178.41,1
u-1594350q,2401.26,0
j-1145477E,2803.34,0
a-7125351Z,8529.61,8
C73458374Q,2578.93,0
H42487546s,1108.69,2
f-4873956c,597.76,9
n-2171056h,966.53,1
B18328752a,2832.26,5
N-4929388x,1657.24,0
s-1723833v,9998.15,9
N15139629D,603.71,7
z-3170763V,10765.07,4
w-2294853S,9388.54,8
v13590850L,8368.5,1
N-7018320r,4224.81,1
C-8860661H,622.86,3
e-1657282o,3151.68,8
a-1090366N,4610.46,4
T-1979577d,3921.66,2
T10443943B,1069.05,8
C-7059083l,2038.89,4
V-2775445H,1257.84,2
Y-1359331n,3724.01,3
J-3845561g,5486.06,5
J-1519931T,1334.19,1
w-1534281h,1152.84,3
q25090977a,2394.9,9
P14343623p,2183.01,8
S87921938R,2513.94,0
Z-2503410m,910.23,5
X15138491s,6119.57,2
s12797973g,885.1,6
S-2166867a,2545.48,3
l21968436d,7613.41,9
e48349275H,2744.15,6
J-2076735y,3536.52,2
H73023939E,2778.43,6
N-6929570j,714.66,5
a68025486E,578.13,9
q-4068323Z,1811.75,0
V15348382y,2582.01,9
u14532736a,1050.58,2
V40334761U,6798.54,7
B-2214084P,1886.28,4
q-1404140E,385.37,3
A-3681208u,2820.74,1
E16896376o,4165.23,5
d-2534590I,1759.93,4
S-1965116I,3777.77,7
b-4266665E,373.01,0
I13914989Z,104377.42,9
m47130393l,3164.03,0
Q-7410329X,4970.19,7
d-1297927q,2341.05,6
f-1056352e,696.56,3
u-2070489i,43371.36,2
C16363758Y,637.4,6
i14933910A,3470.39,2
r-1475357U,4448.36,4
X61893871I,1970.79,2
j-1317678J,3194.95,3
B-1975805X,425.96,1
x-7526060y,2778.57,4
v-1386883Q,1298.86,0
A-1463575c,3895.83,2
w-9263433r,1640.48,2
w19872753k,1361.57,8
C-7911141r,3961.67,5
s-1960417S,13642.93,7
a-8546767B,2950.13,3
F93868144g,1041.31,1
T-2012068H,1870.04,1
w38704997k,2512.78,4
R14058273F,1920.5,6
Y-1582411z,7876.67,6
Q14512280H,1448.03,4
S18780622c,3504.3,6
K20448785V,1366.23,4
c95874857y,9907.26,2
g25517695C,5245.79,8
R-1442786V,4461.76,5
g-2283000q,19573.48,3
I-9353552N,957.69,4
n-1751164y,1684.13,0
E-2364794p,3553.83,5
Z10584890Y,681.36,9
r21240148Z,4748.78,6
d13892145k,424.15,5
N10423478l,10025.81,4
X45507052P,2080.47,9
w-1247054B,803.92,0
k-7428263u,509.91,1
I-1834975z,4080.38,2
X21759757Y,6995.37,1
g16808805U,1338.32,8
t15817307U,9697.6,2
K12580160n,1731.07,1
v24501032Z,5098.96,7
r-1234134E,875.84,1
F-4368553P,903.64,7
e19460921k,604.53,8
l60900580P,528.94,6
L-1528963w,672.92,6
h-5894617f,2908.99,4
s-4342091J,1857.19,2
d19132071d,3281.18,6
T17230987N,1069.23,7
y-9963220p,2035.26,0
e47564578c,715.61,6
A-1925405h,2737.5,7
K-1675111t,19927.9,7
H97009055R,2037.83,1
I19047773k,1375.76,5
n-4539806B,1978.9,4
i-1648732d,1197.54,3
e16769908F,3362.7,2
F16255698J,2631.06,0
G62687264j,2309.64,9
o-1192530z,1026.12,2
I-3923390F,2421.42,4
O-4279569M,6596.56,6
H16125822e,2222.54,9
o86542160V,1073.98,0
G13398649k,3141.07,4
a11345005q,38086.11,0
I-1647122N,3311.52,2
j39765515y,860.41,1
s22685968d,5062.14,0
Z-3081671k,3768.63,8
q14945093N,1451.4,5
F72202302t,3694.55,2
l21849080k,429.19,4
s54993523h,2710.48,3
y-1123775i,1118.11,9
M14149808l,3685.74,1
M20404037C,2137.62,4
b-1571829x,1244.31,1
s16958043k,2794.87,2
Y-1266722f,2237.85,5
d10076210Q,2034.85,6
H10820003r,5380.57,4
W10593018G,2656.65,6
s-5287107D,695.22,8
U66280408d,6258.17,1
D-1146124x,9911.58,1
Q-2259244S,515.35,8
D-7559160p,559.04,4
h13839988K,1383.52,7
H72631192M,963.2,7
L-4889905g,1200.35,8
z21607339H,1484.51,7
p-3327570V,530.52,2
g12467053Z,4759.11,4
N21846215c,26970.25,5
i-2453146k,3591.29,4
m20786215a,5488.2,2
n20592045x,1858.85,5
H22026851l,2583.5,8
E51339321G,12075.77,1
k27919049d,833.86,0
c33662054g,873.27,6
S12759270J,6702.48,2
M-1009693J,2673.92,7
H82330164N,2590.83,1
Q-1696362K,2300.15,3
a-1300283K,4911.78,5
f11377802P,14398.94,6
r-4630038Z,8007.87,4
N-1766675j,1680.14,6
D-1038999X,2909.89,5
H-2121225S,2579.09,1
U92034837a,818.3,6
e47878499e,6298.26,5
y15784992m,3613.86,5
Q19568266H,595.62,7
F-1306753r,1425.09,0
g-1001106Y,1100.89,9
e41548122F,2745.91,6
d-1191791F,4573.05,2
a-3508437r,8987.01,2
n10768003a,3282.11,0
V-1058917A,10160.54,5
G-1064210J,3304.79,5
b37898483B,2603.85,8
W-1942072H,1980.81,4
U11089784O,4067.4,7
o17364992e,2110.27,7
w10076088n,4294.57,0
C-2006279f,12707.49,3
E39641246E,3354.85,1
z14099268L,9356.08,0
V-1025313d,731.97,9
K20554631n,4671.8,4
F51416137Z,3000.12,1
b-3264280n,5340.27,7
D22362642k,5559.21,5
q-1916829q,1176.06,7
K-3971663p,1519.52,9
A-3756325r,1682.28,8
t50494237j,3255.98,2
O-1799431p,2492.43,7
R13692872e,2770.76,4
C12335518x,1797.88,9
F19492836W,563.03,2
X-1992655I,29919.12,2
l10472079P,979.09,9
O-4874952L,1605.54,3
R-7424780C,16281.76,6
m17609944Y,3584.5,7
i-4390733F,20240.13,0
W-1301331r,462.9,1
M50269450O,1693.46,7
I17502941F,3231.77,0
v-9234388J,1640.61,1
I16979704r,1372.22,9
s16218530z,938.3,6
k-1405918G,424.12,4
d-7352777o,2793.51,5
l61851567T,5533.75,8
j-2201624B,1834.64,5
n11802717C,759.32,0
j17565618E,2976.7,5
k16623645q,1353.88,2
b14467388K,6804.57,6
W-6742818R,3491.5,0
u22457924s,1008.71,8
t18723800A,4582.13,5
v-7054365O,5535.82,4
z-1602998Z,3086.13,6
x-3347185z,2413.13,9
n-5767544o,5330.54,2
e63361984l,2434.68,7
Y54367590b,6823.61,0
y11935658q,12121.91,2
r12380190C,2192.59,7
k19526508X,6668.99,8
v53440686O,1985.27,3
P-8697515N,3404.81,5
A-1737634s,6739.19,9
m-3564148V,4417.48,4
p22837387w,356.74,8
l34820395K,3362.86,6
y-2198122N,4697.69,2
T-1279192Y,3481.53,7
n-8990441z,963.38,5
P16794241p,6871.46,9
t73149868J,2950.32,6
j-7040669b,756.0,1
U22436282H,6089.88,2
p79405056U,1429.48,3
m-1601301c,3212.48,5
X72181201T,1453.47,1
t-9455268R,528.56,8
C-1104155H,688.06,0
U16248458j,350.91,4
S-4120469L,5733.37,7
n-1232719B,1905.8,1
S18963318k,639.22,9
G-2226752k,19972.34,3
k93390324e,1316.74,7
V-1918392R,4134.03,2
N17803792H,4251.21,1
A32458478u,5632.55,1
R-1710572o,1425.11,3
p81265760I,827.74,9
v-1155372j,2401.65,2
z73688663a,3007.92,1
X-1036784d,1139.86,0
r-1281369M,343.38,5
e-2751485D,2841.29,7
Q-1670265e,4266.28,7
v-1937023k,1616.25,3
l20591979C,666.24,7
c50744646N,2518.2,8
P13663597M,6202.38,6
Q11996423R,1018.05,5
p33048720U,3943.2,3
W17327191z,2274.52,1
X27634860c,430.05,0
h11151569D,2215.36,0
w13862354L,3011.99,3
G-1225214b,1509.94,3
A-1049127W,2285.76,4
B-1232981t,3724.97,3
m70682170q,1333.94,0
K-1744621w,2879.41,3
V43499402t,13585.1,9
f-2278263a,1051.78,8
g-6471498I,7788.92,5
i-3205593N,1230.03,4
l65240349Z,1915.9,7
L-2024330N,6951.18,8
c20826490j,1795.15,7
c-1675806d,871.17,2
Q-2037054s,2059.42,8
i-8030392l,6337.5,8
H56874337I,5229.91,3
l-2088564B,1800.96,1
g-1503076Q,2428.63,7
z22851238e,1046.84,0
I-7566385U,2067.98,7
Z16147645X,479.26,8
r-1558153U,4620.18,0
o-9448236d,2117.31,1
m17658099N,4019.58,7
q-1536726P,2548.51,7
v-1736895l,1534.49,9
H-1807268T,1854.95,5
n-1768418D,627.69,2
k55997232L,1037.57,8
L-2169697n,1644.27,4
E-5768743C,5459.41,2
s-4094631m,2664.77,9
V20793549R,5161.66,7
g11868644O,1988.28,9
k50823429c,2593.12,7
T-5659136s,6603.34,6
Y17601105t,2296.14,1
c60273416t,1081.18,2
t21606510Y,3406.13,0
R88159240t,1398.27,6
L21442805h,3379.23,5
u-2025209s,28351.07,1
I97024995K,1678.11,7
P95971972i,1929.67,3
P10296494R,3178.55,8
o-1588203t,2068.4,5
S-1915237T,2368.78,6
u-1715408i,2191.24,7
P-7445835e,360.69,9
Z-3125529h,387.82,0
C-1198893D,561.2,1
u-1140095Q,3149.74,6
I-8039148a,7722.61,5
C23250927C,8436.2,7
i36367577X,5117.6,9
J-1264842C,7244.64,1
X-1729593v,8110.79,9
W18935144W,2358.04,1
c-5615180M,9183.1,3
a-1993580l,4380.17,4
l20015000O,2276.07,8
t-1890179i,2619.56,6
r-2150771s,446.72,1
b-8006722p,2339.59,3
h-1013836h,680.18,9
O15208534I,3207.62,9
a-2094929a,19677.24,6
z-1514384W,1196.44,8
s-1243339h,73135.2,0
Z-1691162B,7570.0,6
P-1412506Z,6376.75,6
I77886789f,1402.9,0
e89496897S,556.35,1
H-2061992E,12925.74,5
r12485993Y,764.4,8
h-4055905a,1609.3,0
g66229611W,2153.02,4
t-5576466l,8002.15,0
O13566304w,656.52,2
M-1459552x,2309.16,0
t18819186j,7076.67,9
b-6894725S,2814.7,3
U-1517611e,1897.68,1
f-1766985X,14704.34,1
r-4232284g,5111.42,5
u-7756149A,5681.75,7
x-5093569t,6352.52,0
i-1106718P,97699.24,1
m19179340R,3868.55,1
p-8676887s,951.42,2
O21645254m,2874.12,2
F18814121v,2811.57,7
M-1529406d,408.04,0
S-1051984S,3513.39,8
v10745703c,6264.27,1
l57128172Q,570.25,9
Z-7997184C,1230.84,9
z86911952C,1123.69,6
n-3242143c,807.77,5
I29523102L,463.84,5
g-7424670L,27943.93,9
z45708153c,1575.27,1
P-1980717v,3382.4,2
O-2198733k,2023.08,3
j21765409E,5070.22,8
P-2832417U,5136.8,9
S11905138M,1420.91,4
V21472170q,1169.92,8
F-5640696g,1453.94,0
i10103684i,2719.76,2
L13493904m,2685.41,1
S17718285e,1698.28,2
W-2201967O,7840.51,5
G36366245G,1485.84,8
k-1039028Y,1189.63,4
d-2008716O,6147.29,7
x-1299683h,2573.42,7
r95144569S,542.73,0
v19098891O,1899.35,0
l-5953507c,3024.11,9
W-1211129e,3924.24,7
f18094807B,3298.2,2
W78003964P,3300.7,9
X-1621523j,2199.52,1
V-1546513V,2694.1,8
F-8586878o,4778.91,7
U55413283u,2247.72,5
G60874546x,1655.51,2
j-3298639y,2775.62,8
a-2231592K,2678.18,0
u20900113b,2223.3,0
t41251369W,5777.21,8
J-2227260C,393.62,0
B23940306W,9264.56,1
P10250273P,2895.08,8
r22736648k,4922.98,2
c46100183j,5130.8,9
G62087174h,6077.75,4
q-5999331f,415.28,8
i13348473C,985.76,6
L22673753u,685.56,5
c18052201Q,8634.2,0
A-1784046i,1383.86,4
i93529341g,3753.68,0
p22304025u,515.08,4
m-4969495i,1796.24,3
E-4032546h,4281.8,4
t-1355401k,3486.52,1
I47101924n,2534.53,6
z-1297205A,785.01,6
b15966462n,856.13,8
R-1683951Y,5458.97,2
O23711712l,7024.39,0
f-1250190O,1357.9,8
B-8541235p,2303.09,8
A20603057e,5147.14,2
r89880873T,4800.24,9
T-8925134M,332.63,1
V-9725752D,6626.88,3
s19895093b,1068.37,2
x58256990o,5760.11,5
l-1554787I,8584.18,2
b-2065373n,3965.95,3
U20118110o,1773.32,3
f17295371z,466.01,0
H-3434345i,747.87,5
c-1038656M,6438.62,1
b-3993593n,2166.25,9
A-4064758I,591.68,3
p-1862043f,5424.64,3
n-3147237F,3122.77,3
L18676057l,4654.14,0
v77404713z,7941.56,6
h-2382400T,5027.24,8
j-3753181u,848.68,5
m-1806910Q,365.72,8
N-1293747R,2932.93,5
H-1213278K,1302.3,9
k-1284276t,4686.81,6
w-4839718z,2041.62,0
L11781730e,6745.3,9
X25302782p,11819.02,4
l-4285389z,618.38,9
A-2110919g,2472.09,6
B28690472s,5077.28,0
b-2278301E,5350.26,8
n-9660895o,5045.1,6
I92805218s,5577.23,5
F14265516N,4403.46,7
J38284226P,26126.23,0
f11975477T,7866.5,9
p71128508c,1520.22,8
T19870933B,6867.58,2
L-2146603e,8742.95,2
G13349292r,550.61,9
c-4737890p,4166.7,9
S15627573c,1355.48,5
X83844922n,4334.85,2
y19652944A,3475.91,8
N-4842662w,347.21,1
W-1949796N,1417.71,4
u71964968t,8160.35,1
D46039134C,1923.01,1
F11676889s,5556.9,3
R-6844153a,713.98,9
n95681185i,851.06,3
y53052788O,2166.73,9
e17156131L,2318.31,5
I20900258y,627.06,3
o87681914x,5807.08,5
Q-5554551x,3870.32,3
l-1607581F,2472.96,1
a-9339461G,802.37,2
n28625799A,2106.98,0
N21890923Q,1791.74,1
g-1957069S,4170.06,9
e-5741942D,6967.12,2
y12023699E,793.22,8
Y-8852975t,9493.08,1
L-2247718T,838.72,7
N19589603r,1555.38,8
d37118079d,1113.79,0
s47589001I,704.23,7
y-1806571O,1397.87,1
L16050992t,6453.65,3
m-4274263Z,2131.2,0
s33927254Y,783.89,9
g19494953p,1362.6,3
Y-4198316J,8515.04,1
a-7282370E,830.39,2
z16068145k,4915.25,3
d-4629986a,4129.52,5
Q35379022F,1944.03,5
r10613305A,945.2,8
N23006473B,1756.14,5
m-2019578o,1486.35,9
W86413939q,2184.81,0
o-1093440v,13209.56,9
S-1468454C,1225.1,3
b-1081111P,912.7,5
H10062346p,21729.19,7
N-5708757B,1315.4,9
b-7098808D,567.32,8
M-4627743Y,2020.53,7
s-1392305F,2551.39,0
z67141488o,266.44,6
z-8891400p,549.37,1
z-5687636M,6452.72,8
K-1514397X,2108.35,7
U57863590w,5141.59,0
M49274481G,4082.35,0
a11122197a,1617.68,6
b15256546L,5671.77,2
B11239506t,4486.31,1
l-1337696j,1591.7,2
q-6650729Y,766.89,1
B17720677C,1034.92,3
s21770212W,3279.72,0
x30389932l,954.94,7
B15081492o,1129.56,2
O51808760A,1618.81,6
l62738348Q,6078.88,1
v-6614004H,3763.61,0
c21762167i,5441.45,2
B16746018u,1784.55,6
T-2093464U,675.38,2
t11315883F,2503.67,3
I-2073229s,14865.38,5
r-7396117p,9069.27,6
t-1412384s,390.32,4
E-2041030F,939.98,7
q-1744366u,2037.44,7
E17823137X,3653.3,3
n34490222d,3286.13,6
k20675157L,4566.73,0
x-1548714k,6011.43,7
A14861843I,6785.35,4
H-1457815L,1743.65,1
R-1948335X,5259.05,1
C20191765o,4030.32,4
R16773550u,1094.49,5
f18945419X,2183.41,6
z-3485115T,740.13,9
C-4073157k,665.15,2
u21310295q,2557.31,4
N-9781014K,2735.11,1
t22511448x,1171.54,5
T-4883335x,907.47,1
q12245711E,4411.01,7
B-6461335O,967.13,7
q15170801B,4627.18,3
W18060288Q,2329.86,2
b21711455K,1084.06,9
j20079629P,632.72,3
C11747534v,5140.66,6
M58894937r,1332.38,2
A11922887f,1489.77,6
n12377024x,8485.62,7
L-1227525r,6198.67,5
i-1095441d,1473.73,7
c12597990Y,2080.64,7
Q86719011p,1164.98,3
S-7961176I,932.07,9
i-2288384f,15563.74,6
U16614632F,2012.52,6
U-7130411Q,19089.59,5
q22813846g,245.57,2
i-7530121C,1932.7,4
g-1991724F,2071.28,9
P12661886a,1774.05,6
j-2223695S,2113.41,7
B-2081255O,6275.44,7
H97221372X,3392.01,4
O-2020503H,4471.78,5
G15670643N,2074.89,2
M-1335244r,1513.39,5
c53045565g,50529.51,2
Q19862548Q,1406.85,8
x24297410X,1155.33,1
n-2248103n,2714.32,3
J-1564265f,6354.47,3
z-8396890u,2657.97,3
S-1235434W,6741.32,2
W-7286692g,3546.93,8
l-1076081s,1811.66,3
s13888728i,1874.62,0
f-1599161k,731.87,7
k13011549U,2327.98,2
v13208941X,4698.21,3
b-1380770L,1194.32,9
X22359217a,2638.71,3
C50359433E,1285.94,9
v22254568R,3814.66,4
l13884760f,1545.72,2
W17936165j,1075.5,3
S-3511294t,1438.35,6
j58227834T,4580.67,8
z40790936m,560.3,7
k14397227n,1106.57,5
X62303511v,715.52,9
B-1561363P,858.13,5
i47017449U,592.02,6
Z17281512s,3055.21,6
O-1267999T,3777.05,4
p87595615V,1806.72,9
d21839434m,3355.03,3
t11042597E,895.5,2
n16260385q,3635.87,8
R-1126472L,2488.6,8
W-9477259M,2775.54,9
F-6369826L,2685.76,8
y10620904U,2257.92,5
Z76775340d,278.39,4
d-1139767Q,3828.78,6
C-1370961Z,19358.32,9
A-6054905F,7207.59,9
C-6638042h,1740.89,0
o88568317p,2204.23,7
Q15313356b,2218.48,3
W10497593m,1912.61,7
o-1891967P,4134.63,7
p22237238Z,3851.45,6
a41280148k,3979.79,9
R49036294u,682.71,1
z-4833684R,471.43,8
K20525629B,1806.57,5
v95100302y,2421.49,6
S-8715402c,10670.01,7
H15588497J,3436.64,6
L94218328d,1216.82,1
j55128828K,7120.68,1
I-9335565Q,1629.63,0
M19182860m,1987.36,0
m-2205063P,8129.61,9
e12051793m,1515.43,3
Z60523911N,2131.38,4
I-1072340c,5257.46,7
K-2460692D,1500.31,2
q-9818488o,1185.38,5
M-1351643L,2895.71,8
a15168936c,594.84,8
P-8016178d,3929.34,2
I-5434170l,985.97,5
L10152680W,1343.89,9
J-1648795r,846.93,0
p-7109749V,10025.01,6
g-1247997Z,5481.03,1
I-5970052e,7377.27,4
v-1935966T,3590.54,6
M95466176u,1675.86,0
x94067365b,824.57,3
f-1498735Z,1424.77,8
N-1305225x,765.0,8
y-2171969q,3266.16,7
c17052193e,2431.53,3
b-1872358o,648.09,2
o90119190V,2385.59,2
u-5484227S,1460.49,7
u82752427P,375.82,0
o16230080f,2564.66,5
m-2245548R,1016.78,3
w10201905w,2836.6,0
T-2189506b,2488.36,8
Z-1361289G,2611.87,9
Y22302267X,2153.34,3
l-1026528H,775.38,8
H-2757468E,4155.24,7
N-2240902Z,1149.64,0
x13730258P,1397.73,1
h12427301o,5081.19,7
I-2834874F,563.67,0
N89944460U,2949.58,5
j-1712772o,3746.32,9
c19881313A,1990.13,5
Q-6918324o,649.53,7
D-1543108f,8259.44,4
T-7607561S,1822.43,8
K-1703648s,8225.48,6
t97882515C,7229.2,3
B-1223366j,6835.97,3
e78136849E,4823.75,9
r-3130013n,1822.99,6
S-3888121i,2781.99,8
v13412057i,1474.8,7
w15600381D,4239.08,7
i98744677i,3284.52,1
a35746775Z,3615.41,4
I30300326i,2033.19,0
L-3013668o,6634.1,1
D22902572P,2193.54,0
h-1083202b,4687.05,0
m-1912665m,3064.39,5
t54756416j,1928.03,4
T20363976m,2701.84,8
p81056764h,1316.13,7
I15203455u,1305.13,3
U18148584e,1971.89,6
i-1445700R,2198.22,7
n-2162898E,2536.22,2
v-2280326L,1878.96,4
B54175025n,3376.09,8
a-1388740X,1255.57,3
Q72167569Z,2129.45,5
e10663028u,3508.14,5
G-8756627H,432.65,6
I14406288e,516.15,8
r-9097768K,3089.26,0
Y-3787995U,312.22,0
o-2324110V,6202.53,0
F18164143O,1918.01,9
a-2243028s,5965.01,0
S-1740592Q,1344.32,6
b-2298403w,8135.19,8
B17440481q,2477.28,4
p-1820938A,4621.78,4
d-4762711Z,5425.75,1
d-1979148g,2869.82,0
J22534308x,9347.99,7
u-1504120V,1402.82,5
k74625649K,3725.64,3
y16050355z,582.78,2
d-2225751Z,2872.06,0
o-2922285t,4784.9,4
Q21021305o,4127.35,8
h-6813015B,973.81,1
L-1496694j,3142.24,8
V-1623563U,2411.71,7
D-2134856N,1185.38,0
O-3249507n,2270.64,7
P-8581853M,7025.66,9
p10765484c,2890.96,8
a-5976169f,2640.64,7
H-4871785P,691.07,1
H83423387a,979.1,7
g18985198o,2435.25,6
f-1368188Z,3250.71,4
k-2273981K,4057.33,8
n81763737L,4001.23,1
c-1171224N,6701.44,9
K-2042834N,4971.66,0
A-7704231e,5001.61,2
T-2809069O,1088.58,7
e-2200514f,2504.14,1
J-1137633W,698.99,4
T17971896t,1866.12,0
z10430541i,5608.1,2
o-9505235X,4375.99,0
Z56694596c,4522.86,3
u-2290162o,453.05,6
E-5303502D,473.91,7
R50675613t,2396.56,3
H-1289656m,7349.62,6
O-1576355d,2187.97,9
U-6362584Q,1466.59,2
B-8479157Q,4901.32,0
h16559760t,1117.69,5
o-1530462a,2286.9,8
Q70371595z,660.89,8
v11386552i,593.32,1
A-8582359Y,6100.22,4
m-1142531u,12862.0,3
w21325307E,5819.21,2
P-8788464u,3707.07,1
Y11984874C,536.86,4
I-2085485K,1817.16,4
p-1607435n,2463.72,9
v-7267042G,5234.43,9
X-5337958G,2318.69,5
T14802622s,9463.11,1
k-6591744D,1984.6,2
z-2033330g,7499.1,3
o18752959g,323.62,4
t11356436u,1797.44,0
V-2169580X,500.78,6
R89114665D,391.27,1
F15011099W,2265.75,5
T22451402g,1047.86,8
t61975264x,2367.95,6
X-1055263h,4510.42,7
B-1276447I,1549.02,6
F57559229C,1116.58,0
s-5093199D,6155.62,6
B-1571885y,661.08,8
e14382410l,476.43,8
c-1538833m,1846.96,7
G-1242522V,5458.11,2
z52651957L,5486.4,8
R15749283D,679.32,0
Z-7340686v,2325.36,9
X13250656u,2326.99,4
b-1016644U,1959.46,9
e-9324711M,5554.7,3
S-1099304I,4086.1,4
A-1956639b,6554.17,6
X-8191999r,4277.17,9
g83089172g,2282.85,2
m-1402552y,2195.87,3
G-2990262b,6290.37,5
p97508110p,3198.64,9
O-9487423J,1203.12,4
o21208881t,10173.86,0
m-1655829f,1303.88,3
s-1795135b,3828.38,3
X10754765V,1385.18,4
q-1010002z,561.72,3
C-1546256l,14248.67,3
x80611394y,4240.83,3
x-1155940j,6627.12,7
y17958394w,2118.86,4
w75295475d,354.88,5
a-4209036O,808.08,8
z-1424722R,4153.05,2
e88950408e,7610.63,7
z-1104831H,383.63,7
E86045670c,2416.25,4
v88691914J,1359.17,6
d-6273123g,15164.56,4
I-5675626j,1210.64,8
K91014117o,11187.83,5
r18501621n,3020.34,4
A-2157802N,1503.44,7
f55908334b,3482.99,7
L13979610h,372.72,3
x38201050e,3580.07,4
L86038163R,5023.73,6
H-1751594v,3853.14,7
r-2079936x,1978.91,4
K-2275807Z,521.57,2
N29840074e,776.08,2
U-2283333k,644.67,1
f21333384S,964.92,7
p-1229769J,1141.24,2
r-5540835r,8656.35,9
R-2878244Q,1671.83,1
a51887682f,2603.71,2
Y74292605C,844.41,5
K-4627145s,5062.29,1
K-9436185H,928.07,0
h90156916h,4166.44,6
a-1946557R,3124.7,5
W-3891859t,5641.13,3
E-7802767l,2168.68,1
M-2277769E,1025.49,6
u19642552o,15640.34,6
x98858599X,3713.98,4
b53350458l,1851.45,9
U13465352s,2906.17,7
m22143297y,7877.22,0
J20243122o,1893.84,9
l-9821804Q,5539.72,6
s73940471Q,867.69,2
t-2297441l,4751.76,3
q12145655O,1205.3,9
b-2599382m,3559.17,9
v-1299369C,4100.66,4
B43377576R,1516.2,1
j18433975f,9512.59,6
r12315595Q,1755.48,8
z55650126E,2612.21,4
f76040339F,1017.4,7
P-1722143i,2516.08,5
i-1260000J,1129.4,7
j19148530u,3907.39,0
f22138231E,4523.22,2
V83870783w,3246.16,9
O-8288025e,1104.8,7
p-1854885f,1643.21,0
J-7902945N,2632.95,3
G12472145Q,782.77,3
k11261165S,2123.77,6
l-1737033R,4077.65,3
m17424608q,1419.19,1
W10552458N,5671.41,4
L-1525462q,2027.98,9
z17317811F,3486.85,2
g17604731B,422.91,2
j-9417716z,852.99,4
F-8081733V,634.76,6
V34635115U,9358.19,3
u21716903G,788.63,7
B44457813K,1364.12,2
Z95207161f,1726.97,2
